"Details for Sum of EffectiveCost - ServiceName: Virtual Machines, Tag Status: Untagged",,,,,,
,,,,,,
BillingPeriodStart,ConsumedQuantity,ConsumedUnit,EffectiveCost,RegionName,ServiceName,SubAccountName
01-09-2024,24,Hours,36,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,24,Hours,9.6,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,24,Hours,9.6,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,24,Hours,9.6,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,24,Hours,7.176,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,24,Hours,7.176,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,0.033336,Units/Month,4.09632768,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,0.033336,Units/Month,4.09632768,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,0.033336,Units/Month,4.09632768,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,0.022224,Units/Month,2.73088512,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,0.033336,Units/Month,0.59738112,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,24,Units/Hour,0.48,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,19,Units/Hour,0.38,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,18,Units/Hour,0.36,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,0.009911778,GB,0.000495589,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,0.009797001,GB,0.00048985,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,0.0019351,GB,0.0000387,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,0.001773761,GB,0.0000355,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,0.0000281,GB,0.00000244,West US 2,Virtual Machines,Horizon Eclipse
01-09-2024,17.625,Hours,6.027493169,West US,Virtual Machines,Horizon Eclipse
01-09-2024,24,Hours,2.3808,West US,Virtual Machines,Apollo Orion
01-09-2024,24,Units/Hour,0.48,West US,Virtual Machines,Horizon Eclipse
01-09-2024,24,Units/Hour,0.48,West US,Virtual Machines,Horizon Eclipse
01-09-2024,12,Units/Hour,0.24,West US,Virtual Machines,Horizon Eclipse
